,time,velocity,distance
0,0.0,29760.000686855954,149599996547.24777
1,1078.0,29760.00137627563,149599993081.61154
2,2156.0,29760.002068259004,149599989603.09137
3,3234.0,29760.00276280604,149599986111.68747
4,4312.0,29760.00345991671,149599982607.40005
5,5390.0,29760.004159590975,149599979090.22922
6,6468.0,29760.00486182881,149599975560.17514
7,7546.0,29760.005566630178,149599972017.23798
8,8624.0,29760.006273995055,149599968461.4179
9,9702.0,29760.006983923402,149599964892.7151
10,10780.0,29760.007696415185,149599961311.1297
11,11858.0,29760.00841147038,149599957716.66183
12,12936.0,29760.009129088943,149599954109.31174
13,14014.0,29760.009849270853,149599950489.0796
14,15092.0,29760.010572016065,149599946855.96545
15,16170.0,29760.01129732456,149599943209.9696
16,17248.0,29760.012025196294,149599939551.09213
17,18326.0,29760.012755631236,149599935879.33322
18,19404.0,29760.01348862936,149599932194.69305
19,20482.0,29760.01422419062,149599928497.1718
20,21560.0,29760.014962314996,149599924786.76962
21,22638.0,29760.015703002442,149599921063.4867
22,23716.0,29760.016446252936,149599917327.32318
23,24794.0,29760.017192066432,149599913578.27927
24,25872.0,29760.017940442904,149599909816.3551
25,26950.0,29760.018691382316,149599906041.55087
26,28028.0,29760.019444884634,149599902253.86673
27,29106.0,29760.02020094982,149599898453.3029
28,30184.0,29760.020959577847,149599894639.85953
29,31262.0,29760.021720768676,149599890813.53674
30,32340.0,29760.022484522273,149599886974.3348
31,33418.0,29760.0232508386,149599883122.25385
32,34496.0,29760.024019717628,149599879257.29404
33,35574.0,29760.024791159318,149599875379.45554
34,36652.0,29760.025565163636,149599871488.7386
35,37730.0,29760.026341730547,149599867585.1433
36,38808.0,29760.027120860013,149599863668.6699
37,39886.0,29760.027902552003,149599859739.31854
38,40964.0,29760.02868680648,149599855797.08942
39,42042.0,29760.02947362341,149599851841.98267
40,43120.0,29760.03026300275,149599847873.99857
41,44198.0,29760.03105494447,149599843893.13715
42,45276.0,29760.031849448533,149599839899.39874
43,46354.0,29760.0326465149,149599835892.78348
44,47432.0,29760.033446143538,149599831873.29156
45,48510.0,29760.03424833441,149599827840.9231
46,49588.0,29760.035053087482,149599823795.6783
47,50666.0,29760.035860402713,149599819737.55746
48,51744.0,29760.036670280064,149599815666.5606
49,52822.0,29760.037482719505,149599811582.68805
50,53900.0,29760.038297720992,149599807485.9399
51,54978.0,29760.039115284493,149599803376.3164
52,56056.0,29760.039935409975,149599799253.8177
53,57134.0,29760.04075809739,149599795118.444
54,58212.0,29760.04158334671,149599790970.19547
55,59290.0,29760.042411157887,149599786809.07233
56,60368.0,29760.04324153089,149599782635.07474
57,61446.0,29760.04407446568,149599778448.2029
58,62524.0,29760.04490996222,149599774248.45703
59,63602.0,29760.04574802047,149599770035.83734
60,64680.0,29760.046588640394,149599765810.34396
61,65758.0,29760.047431821957,149599761571.97714
62,66836.0,29760.048277565114,149599757320.737
63,67914.0,29760.049125869824,149599753056.6238
64,68992.0,29760.04997673606,149599748779.63773
65,70070.0,29760.05083016377,149599744489.77902
66,71148.0,29760.051686152925,149599740187.04776
67,72226.0,29760.052544703485,149599735871.4442
68,73304.0,29760.053405815408,149599731542.96854
69,74382.0,29760.054269488657,149599727201.621
70,75460.0,29760.055135723185,149599722847.40176
71,76538.0,29760.056004518963,149599718480.311
72,77616.0,29760.056875875944,149599714100.34897
73,78694.0,29760.057749794094,149599709707.51584
74,79772.0,29760.058626273367,149599705301.81183
75,80850.0,29760.05950531373,149599700883.23706
76,81928.0,29760.06038691514,149599696451.79184
77,83006.0,29760.061271077553,149599692007.4763
78,84084.0,29760.062157800934,149599687550.29068
79,85162.0,29760.063047085237,149599683080.2352
80,86240.0,29760.063938930427,149599678597.31003
81,87318.0,29760.064833336466,149599674101.5154
82,88396.0,29760.0657303033,149599669592.8515
83,89474.0,29760.066629830904,149599665071.3185
84,90552.0,29760.067531919227,149599660536.91675
85,91630.0,29760.068436568232,149599655989.64624
86,92708.0,29760.069343777875,149599651429.50732
87,93786.0,29760.070253548114,149599646856.5002
88,94864.0,29760.071165878915,149599642270.62503
89,95942.0,29760.072080770227,149599637671.8821
90,97020.0,29760.072998222015,149599633060.27155
91,98098.0,29760.073918234233,149599628435.7936
92,99176.0,29760.07484080684,149599623798.4485
93,100254.0,29760.075765939797,149599619148.23642
94,101332.0,29760.076693633055,149599614485.1576
95,102410.0,29760.07762388658,149599609809.21222
96,103488.0,29760.078556700326,149599605120.4005
97,104566.0,29760.079492074252,149599600418.72278
98,105644.0,29760.08043000831,149599595704.1791
99,106722.0,29760.081370502463,149599590976.7697
100,107800.0,29760.082313556668,149599586236.4949
101,108878.0,29760.08325917088,149599581483.35486
102,109956.0,29760.084207345055,149599576717.34976
103,111034.0,29760.085158079146,149599571938.47992
104,112112.0,29760.086111373123,149599567146.74545
105,113190.0,29760.08706722693,149599562342.1466
106,114268.0,29760.08802564053,149599557524.68365
107,115346.0,29760.088986613875,149599552694.35675
108,116424.0,29760.08995014692,149599547851.1661
109,117502.0,29760.090916239627,149599542995.11206
110,118580.0,29760.09188489195,149599538126.19467
111,119658.0,29760.092856103845,149599533244.41428
112,120736.0,29760.093829875266,149599528349.7711
113,121814.0,29760.094806206173,149599523442.2653
114,122892.0,29760.095785096513,149599518521.89713
115,123970.0,29760.09676654625,149599513588.6668
116,125048.0,29760.09775055533,149599508642.57462
117,126126.0,29760.09873712372,149599503683.62073
118,127204.0,29760.099726251367,149599498711.80536
119,128282.0,29760.10071793823,149599493727.1288
120,129360.0,29760.10171218426,149599488729.59122
121,130438.0,29760.102708989412,149599483719.19284
122,131516.0,29760.103708353643,149599478695.93393
123,132594.0,29760.10471027691,149599473659.81476
124,133672.0,29760.105714759164,149599468610.83545
125,134750.0,29760.106721800355,149599463548.99628
126,135828.0,29760.107731400443,149599458474.29752
127,136906.0,29760.108743559376,149599453386.73938
128,137984.0,29760.10975827712,149599448286.32208
129,139062.0,29760.110775553614,149599443173.04584
130,140140.0,29760.111795388824,149599438046.91092
131,141218.0,29760.112817782698,149599432907.91757
132,142296.0,29760.113842735183,149599427756.06595
133,143374.0,29760.11487024625,149599422591.35638
134,144452.0,29760.115900315832,149599417413.78906
135,145530.0,29760.11693294389,149599412223.3642
136,146608.0,29760.11796813038,149599407020.08215
137,147686.0,29760.119005875255,149599401803.94305
138,148764.0,29760.120046178465,149599396574.94714
139,149842.0,29760.121089039963,149599391333.09467
140,150920.0,29760.122134459703,149599386078.3859
141,151998.0,29760.123182437634,149599380810.82108
142,153076.0,29760.124232973707,149599375530.4004
143,154154.0,29760.12528606788,149599370237.12415
144,155232.0,29760.126341720104,149599364930.99252
145,156310.0,29760.12739993033,149599359612.00583
146,157388.0,29760.12846069851,149599354280.16428
147,158466.0,29760.129524024596,149599348935.4681
148,159544.0,29760.130589908535,149599343577.91754
149,160622.0,29760.13165835028,149599338207.51288
150,161700.0,29760.132729349785,149599332824.25436
151,162778.0,29760.133802907003,149599327428.1422
152,163856.0,29760.13487902188,149599322019.17664
153,164934.0,29760.13595769437,149599316597.3579
154,166012.0,29760.137038924426,149599311162.6863
155,167090.0,29760.138122711993,149599305715.1621
156,168168.0,29760.139209057023,149599300254.78552
157,169246.0,29760.140297959475,149599294781.5568
158,170324.0,29760.14138941929,149599289295.47617
159,171402.0,29760.14248343642,149599283796.5439
160,172480.0,29760.143580010812,149599278284.76028
161,173558.0,29760.144679142424,149599272760.12546
162,174636.0,29760.145780831204,149599267222.6398
163,175714.0,29760.146885077098,149599261672.3035
164,176792.0,29760.147991880054,149599256109.11688
165,177870.0,29760.14910124003,149599250533.08008
166,178948.0,29760.15021315697,149599244944.19345
167,180026.0,29760.151327630825,149599239342.4572
168,181104.0,29760.15244466154,149599233727.8716
169,182182.0,29760.153564249063,149599228100.43695
170,183260.0,29760.15468639335,149599222460.1534
171,184338.0,29760.155811094348,149599216807.02136
172,185416.0,29760.156938352004,149599211141.04095
173,186494.0,29760.158068166267,149599205462.21246
174,187572.0,29760.159200537088,149599199770.53625
175,188650.0,29760.16033546441,149599194066.01245
176,189728.0,29760.161472948188,149599188348.6414
177,190806.0,29760.162612988366,149599182618.4233
178,191884.0,29760.16375558489,149599176875.3585
179,192962.0,29760.164900737716,149599171119.4472
180,194040.0,29760.166048446787,149599165350.68967
181,195118.0,29760.167198712046,149599159569.0862
182,196196.0,29760.168351533448,149599153774.63702
183,197274.0,29760.169506910937,149599147967.34238
184,198352.0,29760.170664844463,149599142147.20264
185,199430.0,29760.171825333964,149599136314.21796
186,200508.0,29760.1729883794,149599130468.38867
187,201586.0,29760.17415398071,149599124609.71506
188,202664.0,29760.175322137846,149599118738.19733
189,203742.0,29760.176492850755,149599112853.83575
190,204820.0,29760.177666119373,149599106956.63065
191,205898.0,29760.178841943656,149599101046.58228
192,206976.0,29760.18002032355,149599095123.69086
193,208054.0,29760.181201258998,149599089187.9567
194,209132.0,29760.182384749947,149599083239.3801
195,210210.0,29760.183570796344,149599077277.9613
196,211288.0,29760.18475939814,149599071303.70056
197,212366.0,29760.18595055527,149599065316.5982
198,213444.0,29760.187144267693,149599059316.65442
199,214522.0,29760.18834053534,149599053303.8696
200,215600.0,29760.18953935817,149599047278.24393
201,216678.0,29760.190740736118,149599041239.7777
202,217756.0,29760.191944669135,149599035188.47122
203,218834.0,29760.19315115716,149599029124.3247
204,219912.0,29760.19436020015,149599023047.3385
205,220990.0,29760.195571798038,149599016957.5129
206,222068.0,29760.196785950775,149599010854.84805
207,223146.0,29760.1980026583,149599004739.34436
208,224224.0,29760.199221920568,149598998611.00214
209,225302.0,29760.20044373751,149598992469.82153
210,226380.0,29760.201668109083,149598986315.8029
211,227458.0,29760.202895035225,149598980148.94653
212,228536.0,29760.204124515876,149598973969.25266
213,229614.0,29760.20535655099,149598967776.72162
214,230692.0,29760.2065911405,149598961571.35367
215,231770.0,29760.20782828436,149598955353.14908
216,232848.0,29760.20906798251,149598949122.1082
217,233926.0,29760.210310234885,149598942878.23123
218,235004.0,29760.211555041442,149598936621.5185
219,236082.0,29760.21280240212,149598930351.9703
220,237160.0,29760.214052316853,149598924069.5869
221,238238.0,29760.215304785597,149598917774.36862
222,239316.0,29760.216559808287,149598911466.31573
223,240394.0,29760.217817384866,149598905145.42847
224,241472.0,29760.21907751528,149598898811.70724
225,242550.0,29760.220340199474,149598892465.1522
226,243628.0,29760.221605437386,149598886105.76373
227,244706.0,29760.222873228955,149598879733.54208
228,245784.0,29760.22414357413,149598873348.48758
229,246862.0,29760.225416472855,149598866950.6005
230,247940.0,29760.22669192506,149598860539.88113
231,249018.0,29760.2279699307,149598854116.32977
232,250096.0,29760.229250489705,149598847679.94675
233,251174.0,29760.23053360203,149598841230.7323
234,252252.0,29760.231819267603,149598834768.6867
235,253330.0,29760.233107486376,149598828293.81033
236,254408.0,29760.234398258286,149598821806.10342
237,255486.0,29760.23569158327,149598815305.56635
238,256564.0,29760.236987461278,149598808792.19928
239,257642.0,29760.238285892243,149598802266.00266
240,258720.0,29760.239586876112,149598795726.97665
241,259798.0,29760.240890412824,149598789175.12164
242,260876.0,29760.242196502317,149598782610.43793
243,261954.0,29760.24350514453,149598776032.92578
244,263032.0,29760.244816339415,149598769442.58554
245,264110.0,29760.246130086896,149598762839.41748
246,265188.0,29760.247446386922,149598756223.42188
247,266266.0,29760.24876523943,149598749594.59906
248,267344.0,29760.250086644366,149598742952.94934
249,268422.0,29760.251410601664,149598736298.47302
250,269500.0,29760.252737111263,149598729631.1704
251,270578.0,29760.254066173107,149598722951.0418
252,271656.0,29760.255397787132,149598716258.0875
253,272734.0,29760.256731953283,149598709552.30783
254,273812.0,29760.258068671486,149598702833.7031
255,274890.0,29760.259407941696,149598696102.27356
256,275968.0,29760.260749763846,149598689358.01956
257,277046.0,29760.26209413787,149598682600.94144
258,278124.0,29760.263441063715,149598675831.03946
259,279202.0,29760.26479054131,149598669048.31396
260,280280.0,29760.2661425706,149598662252.76526
261,281358.0,29760.267497151523,149598655444.39365
262,282436.0,29760.26885428401,149598648623.1994
263,283514.0,29760.27021396801,149598641789.18292
264,284592.0,29760.27157620346,149598634942.34445
265,285670.0,29760.272940990293,149598628082.68436
266,286748.0,29760.274308328448,149598621210.20288
267,287826.0,29760.275678217862,149598614324.9004
268,288904.0,29760.277050658475,149598607426.77716
269,289982.0,29760.27842565022,149598600515.8336
270,291060.0,29760.27980319304,149598593592.06992
271,292138.0,29760.28118328687,149598586655.48645
272,293216.0,29760.282565931644,149598579706.0836
273,294294.0,29760.283951127305,149598572743.86157
274,295372.0,29760.285338873782,149598565768.82077
275,296450.0,29760.286729171017,149598558780.96146
276,297528.0,29760.28812201895,149598551780.28403
277,298606.0,29760.28951741751,149598544766.7887
278,299684.0,29760.290915366637,149598537740.47586
279,300762.0,29760.29231586627,149598530701.34583
280,301840.0,29760.293718916342,149598523649.3989
281,302918.0,29760.295124516793,149598516584.63544
282,303996.0,29760.29653266755,149598509507.05576
283,305074.0,29760.297943368558,149598502416.66013
284,306152.0,29760.29935661975,149598495313.4489
285,307230.0,29760.30077242106,149598488197.42245
286,308308.0,29760.30219077242,149598481068.5811
287,309386.0,29760.303611673775,149598473926.9251
288,310464.0,29760.305035125053,149598466772.45483
289,311542.0,29760.30646112619,149598459605.1706
290,312620.0,29760.307889677122,149598452425.07275
291,313698.0,29760.30932077779,149598445232.1616
292,314776.0,29760.310754428112,149598438026.4375
293,315854.0,29760.31219062804,149598430807.90076
294,316932.0,29760.3136293775,149598423576.55176
295,318010.0,29760.315070676428,149598416332.39075
296,319088.0,29760.316514524762,149598409075.41812
297,320166.0,29760.31796092243,149598401805.63416
298,321244.0,29760.31940986937,149598394523.03925
299,322322.0,29760.32086136552,149598387227.63367
300,323400.0,29760.322315410802,149598379919.41782
301,324478.0,29760.32377200516,149598372598.392
302,325556.0,29760.325231148523,149598365264.55652
303,326634.0,29760.326692840827,149598357917.91174
304,327712.0,29760.328157082,149598350558.45804
305,328790.0,29760.329623871985,149598343186.19565
306,329868.0,29760.3310932107,149598335801.125
307,330946.0,29760.332565098102,149598328403.2464
308,332024.0,29760.3340395341,149598320992.56018
309,333102.0,29760.335516518644,149598313569.06665
310,334180.0,29760.336996051657,149598306132.76627
311,335258.0,29760.33847813307,149598298683.65927
312,336336.0,29760.339962762824,149598291221.746
313,337414.0,29760.341449940843,149598283747.02686
314,338492.0,29760.34293966707,149598276259.50214
315,339570.0,29760.344431941423,149598268759.17218
316,340648.0,29760.345926763843,149598261246.03738
317,341726.0,29760.34742413426,149598253720.098
318,342804.0,29760.348924052603,149598246181.35446
319,343882.0,29760.350426518813,149598238629.80707
320,344960.0,29760.35193153281,149598231065.45618
321,346038.0,29760.35343909453,149598223488.3022
322,347116.0,29760.354949203902,149598215898.34534
323,348194.0,29760.356461860865,149598208295.58603
324,349272.0,29760.35797706534,149598200680.02463
325,350350.0,29760.35949481727,149598193051.66147
326,351428.0,29760.361015116574,149598185410.4969
327,352506.0,29760.36253796319,149598177756.53125
328,353584.0,29760.36406335704,149598170089.76492
329,354662.0,29760.36559129807,149598162410.1982
330,355740.0,29760.367121786192,149598154717.83154
331,356818.0,29760.368654821348,149598147012.66516
332,357896.0,29760.370190403468,149598139294.6995
333,358974.0,29760.37172853248,149598131563.9349
334,360052.0,29760.37326920831,149598123820.3717
335,361130.0,29760.374812430895,149598116064.01028
336,362208.0,29760.37635820016,149598108294.85098
337,363286.0,29760.377906516034,149598100512.89417
338,364364.0,29760.379457378447,149598092718.14017
339,365442.0,29760.38101078733,149598084910.58932
340,366520.0,29760.38256674261,149598077090.24207
341,367598.0,29760.384125244218,149598069257.09866
342,368676.0,29760.385686292084,149598061411.1596
343,369754.0,29760.387249886135,149598053552.4251
344,370832.0,29760.388816026298,149598045680.89563
345,371910.0,29760.39038471251,149598037796.5715
346,372988.0,29760.391955944688,149598029899.453
347,374066.0,29760.393529722765,149598021989.54062
348,375144.0,29760.395106046675,149598014066.83466
349,376222.0,29760.396684916337,149598006131.33548
350,377300.0,29760.398266331686,149597998183.0435
351,378378.0,29760.399850292648,149597990221.95905
352,379456.0,29760.401436799148,149597982248.08243
353,380534.0,29760.403025851112,149597974261.41406
354,381612.0,29760.404617448476,149597966261.9543
355,382690.0,29760.406211591162,149597958249.70355
356,383768.0,29760.4078082791,149597950224.66217
357,384846.0,29760.40940751221,149597942186.83047
358,385924.0,29760.411009290427,149597934136.2089
359,387002.0,29760.412613613677,149597926072.79773
360,388080.0,29760.41422048188,149597917996.59738
361,389158.0,29760.415829894977,149597909907.60828
362,390236.0,29760.417441852882,149597901805.83072
363,391314.0,29760.419056355524,149597893691.2651
364,392392.0,29760.420673402834,149597885563.9118
365,393470.0,29760.422292994735,149597877423.77115
366,394548.0,29760.42391513115,149597869270.84354
367,395626.0,29760.42553981201,149597861105.1294
368,396704.0,29760.427167037244,149597852926.62903
369,397782.0,29760.42879680677,149597844735.34283
370,398860.0,29760.43042912052,149597836531.27118
371,399938.0,29760.432063978413,149597828314.41452
372,401016.0,29760.43370138038,149597820084.7731
373,402094.0,29760.435341326345,149597811842.34735
374,403172.0,29760.43698381623,149597803587.13773
375,404250.0,29760.438628849966,149597795319.14444
376,405328.0,29760.440276427475,149597787038.36804
